prompt_id;prompt;response_id;user;response;data_type;check_responseid;check_user;check_response;check_type
1502; Kata yang digunakan untuk menyebut seseorang secara umum, bukan tentang orang tertentu. ;1436;201;jeme si lain ne;1;1994;249;orang lain nya;DAILY CHECK
1503; Kata yang digunakan untuk menyebut lebih dari satu orang. ;1438;204;jeme khami;1;1963;249;orang ramai;DAILY CHECK
1504; Kata yang digunakan untuk menyebut lebih dari satu orang. ;1798;238;jeme tekhem;1;1964;249;orang banyak;DAILY CHECK
1505; Kata yang digunakan untuk menyebut lebih dari satu orang. ;1452;204;khakyat;1;2064;233;rakyat;DAILY CHECK
1505; Kata yang digunakan untuk menyebut lebih dari satu orang. ;1452;204;khakyat;1;2270;169;rakyat;DAILY CHECK
1507; Kata yang digunakan untuk menyebut seluruh umat manusia (sebagai satu kelompok). ;1446;211;manusie;1;1935;249;manusia;DAILY CHECK
1507; Kata yang digunakan untuk menyebut seluruh umat manusia (sebagai satu kelompok). ;1577;201;insan ;1;2219;214;insan;DAILY CHECK
1507; Kata yang digunakan untuk menyebut seluruh umat manusia (sebagai satu kelompok). ;1582;210;umat manusie;1;2041;209;umat jeme;DAILY CHECK
1507; Kata yang digunakan untuk menyebut seluruh umat manusia (sebagai satu kelompok). ;1582;210;umat manusie;1;2265;169;manusia;DAILY CHECK
1508; Kata yang digunakan untuk menyebut seluruh umat manusia (sebagai satu kelompok). ;1294;214;jeme;1;1995;249;manusia;DAILY CHECK
1509; Kata yang digunakan untuk menyebut seluruh umat manusia (sebagai satu kelompok). ;1327;214;umat jeme;1;2029;209;umat manusia;DAILY CHECK
1509; Kata yang digunakan untuk menyebut seluruh umat manusia (sebagai satu kelompok). ;1489;202;jeme kekhine (selukhuhne);1;3628;171;manusia semuanya;DAILY CHECK
1509; Kata yang digunakan untuk menyebut seluruh umat manusia (sebagai satu kelompok). ;1612;201;umat manusie (kekhinne);1;2272;169;manusia;DAILY CHECK
1509; Kata yang digunakan untuk menyebut seluruh umat manusia (sebagai satu kelompok). ;1728;215;mase;1;1946;249;masa;DAILY CHECK
1511; Kata yang menjelaskan ciri yang terdapat pada semua manusia. ;1660;253;sifat dasakh manusie ;1;1881;209;sifat dasar manusia;DAILY CHECK
1512; Kata yang menjelaskan ciri yang terdapat pada seorang manusia. ;1693;238;sendikhi;1;1984;249;sendiri;DAILY CHECK
1512; Kata yang menjelaskan ciri yang terdapat pada seorang manusia. ;1693;238;sendikhi;1;2077;209;sendiri;DAILY CHECK
1516;Kata yang digunakan untuk menyebut tubuh//badan. ;1281;214;awe,  babah,  mate,  igung,  dagu,  tagi,  alis,  cuping, buk, dade,  pakhe,  tangan, kiding,  betis, jantung, lidah,  ipen,  kuduk,  indung kiding,  jakhi indung,  jakhi telunjuk,  jakhi tengah,  jakhi manis,  jakhi kidil, ate;1;1907;209;muka, mulut, mata, hidung, isang, jidat, alis, kuping, rambut, dada, bahu, tangan, kaki, betis, jantung, lidah, gigi, punggung, induk kaki, jari induk, jari telunjuk, jari tengah, jari manis, anak jari, hati;DAILY CHECK
1516;Kata yang digunakan untuk menyebut tubuh//badan. ;1281;214;awe,  babah,  mate,  igung,  dagu,  tagi,  alis,  cuping, buk, dade,  pakhe,  tangan, kiding,  betis, jantung, lidah,  ipen,  kuduk,  indung kiding,  jakhi indung,  jakhi telunjuk,  jakhi tengah,  jakhi manis,  jakhi kidil, ate;1;2232;214;wajah,  mulut,  mata,  hidung,  dagu,  jidat,  alis,  telinga,  rambut,  dada,  paha,  tagan,  kaki,  betis,  jantung,  lidah,  gigi,  punggung,  ibu kaki,  ibu jari,  jari telunjuk,  jari tengah,  jari manis,  jari kelingking, jati;DAILY CHECK
1517; Kata yang digunakan untuk menyebut bentuk tubuh//badan manusia. ;1285;214;jantung,  ate, tukekh,  usus;1;1991;249;jantung,hati,perut,usus;DAILY CHECK
1517; Kata yang digunakan untuk menyebut bentuk tubuh//badan manusia. ;1285;214;jantung,  ate, tukekh,  usus;1;2063;233;jantung, ate, perut, usus;DAILY CHECK
1517; Kata yang digunakan untuk menyebut bentuk tubuh//badan manusia. ;1285;214;jantung,  ate, tukekh,  usus;1;2071;209;jantung, hati, perut, usus;DAILY CHECK
1518; Kata yang digunakan untuk menyebut bentuk tubuh//badan manusia. ;1475;210;badan;1;2056;233;tundun;DAILY CHECK
1518; Kata yang digunakan untuk menyebut bentuk tubuh//badan manusia. ;1723;215;khembage;1;2075;209;rembaga;DAILY CHECK
1518; Kata yang digunakan untuk menyebut bentuk tubuh//badan manusia. ;1808;238;tubuh;1;1958;249;tubuh;DAILY CHECK
1520; Kata umum yang digunakan untuk menyebut bagian tubuh//badan. ;1493;211;takal;1;1980;249;kepala;DAILY CHECK
1521; Kata umum yang digunakan untuk menyebut bagian tubuh//badan. ;1497;211;tangan;1;1947;249;tangan;DAILY CHECK
1524; Kata yang menjelaskan sifat sesuatu yang berkaitan dengan tubuh manusia. ;1347;214;sehat;1;1966;249;sehat;DAILY CHECK
1524; Kata yang menjelaskan sifat sesuatu yang berkaitan dengan tubuh manusia. ;1347;214;sehat;1;3378;169;sehat;DAILY CHECK
1524; Kata yang menjelaskan sifat sesuatu yang berkaitan dengan tubuh manusia. ;1506;234;tubuh atau badan ;1;1908;209;tubuh atau badan;DAILY CHECK
1524; Kata yang menjelaskan sifat sesuatu yang berkaitan dengan tubuh manusia. ;1506;234;tubuh atau badan ;1;2224;214;tubuh atau badan;DAILY CHECK
1525; Kata yang digunakan untuk menyebut sel tubuh. ;1741;215;sel;1;1879;209;sel;DAILY CHECK
1526; Kata yang digunakan untuk menyebut sel tubuh. ;1809;238;khondap ;1;2746;202;rondap;DAILY CHECK
1526; Kata yang digunakan untuk menyebut sel tubuh. ;1809;238;khondap ;1;3459;171;roundap;DAILY CHECK
1527; Kata yang digunakan untuk menyebut sel tubuh. ;1487;211;protoplasma;1;2629;238;protop;DAILY CHECK
1529; Apa saja bagian dari kepala. ;1706;209;cekhite ulang;1;1978;249;cerita ulang;DAILY CHECK
1529; Apa saja bagian dari kepala. ;1706;209;cekhite ulang;1;2194;214;cerita ulang;DAILY CHECK
1530; Apa saja bagian dari kepala. ;1503;215;kuling takal khut khambut;1;1876;169;kalit kepala dan rambut;DAILY CHECK
1532; Apa saja bagian dari kepala. ;1373;204;tundun;1;2048;233;badan;DAILY CHECK
1532; Apa saja bagian dari kepala. ;1480;217;Kuduk;1;1936;249;pundak;DAILY CHECK
1534; Apa saja bagian dari kepala. ;1328;214;alis mate;1;2042;209;alis mata;DAILY CHECK
1534; Apa saja bagian dari kepala. ;1533;216;gukhip;1;1870;169;alis;DAILY CHECK
1534; Apa saja bagian dari kepala. ;1533;216;gukhip;1;2059;233;alis;DAILY CHECK
1534; Apa saja bagian dari kepala. ;1533;216;gukhip;1;3436;171;alis;DAILY CHECK
1534; Apa saja bagian dari kepala. ;1616;234;alis;1;1972;249;alis;DAILY CHECK
1536; Apa saja bagian dari kepala. ;1821;245;utok ;1;1950;249;otak;DAILY CHECK
1538; Apa saja bagian dari wajah manusia. ;1330;227;jidat me;1;1875;209;jidat mu;DAILY CHECK
1539; Apa saja bagian dari wajah manusia. ;1501;204;pipi;1;1987;249;pipi;DAILY CHECK
1540; Apa saja bagian dari wajah manusia. ;1505;204;dagu;1;2082;205;dagu;DAILY CHECK
1542; Apa saja bagian dari wajah manusia. ;1743;206;pahat;1;1983;249;lesung pipit;DAILY CHECK
1543; Apa saja bagian dari wajah manusia. ;1685;209;bagien tubuh awe;1;1941;249;bagian tubuh muka;DAILY CHECK
1543; Apa saja bagian dari wajah manusia. ;1685;209;bagien tubuh awe;1;2148;209;bagian tubuh muka;DAILY CHECK
1543; Apa saja bagian dari wajah manusia. ;1685;209;bagien tubuh awe;1;2212;214;bagian tubuh muka;DAILY CHECK
1545; Apa saja bagian dari leher. ;1500;202;kuduk;1;2043;209;punggung;DAILY CHECK
1545; Apa saja bagian dari leher. ;1749;206;kuduk;1;1956;249;punggung;DAILY CHECK
1545; Apa saja bagian dari leher. ;1749;206;kuduk;1;2193;214;punggung;DAILY CHECK
1547; Apa saja bagian dari leher. ;1514;211;tembolok;1;2040;209;tembolok;DAILY CHECK
1549; Apa saja bagian dari leher. ;1544;211;kakhung;1;1887;169;leher;DAILY CHECK
1549; Apa saja bagian dari leher. ;1670;206;Lipaten kuling ni kakhung;1;1965;249;lipatan kulit di leher;DAILY CHECK
1552; Kata yang menjelaskan bentuk bagian-bagian dari wajah manusia. ;1551;211;tebal;1;2039;209;kapal;DAILY CHECK
1552; Kata yang menjelaskan bentuk bagian-bagian dari wajah manusia. ;1559;201;kapal gukhip;1;1934;249;tebal alis;DAILY CHECK
1553; Kata yang menjelaskan bentuk bagian-bagian dari wajah manusia. ;1366;227;buk mate;1;2034;209;bulu mata;DAILY CHECK
1553; Kata yang menjelaskan bentuk bagian-bagian dari wajah manusia. ;1496;211;melentik;1;1938;249;melentik;DAILY CHECK
1553; Kata yang menjelaskan bentuk bagian-bagian dari wajah manusia. ;1496;211;melentik;1;4412;169;lentik;DAILY CHECK
1554; Kata yang menjelaskan bentuk bagian-bagian dari wajah manusia. ;1432;227;cut mate;1;2060;233;kecil mata;DAILY CHECK
1554; Kata yang menjelaskan bentuk bagian-bagian dari wajah manusia. ;1564;210;cenek(mate);1;2089;205;kecil ;DAILY CHECK
1554; Kata yang menjelaskan bentuk bagian-bagian dari wajah manusia. ;1753;215;cipit;1;1959;249;sipit;DAILY CHECK
1555; Kata yang menjelaskan bentuk bagian-bagian dari wajah manusia. ;1504;211;igung;1;1976;249;hidup;DAILY CHECK
1556; Kata yang menjelaskan bentuk bagian-bagian dari wajah manusia. ;1370;237;cinta;1;2086;205;cinte;DAILY CHECK
1556; Kata yang menjelaskan bentuk bagian-bagian dari wajah manusia. ;1370;237;cinta;1;2187;214;cinta;DAILY CHECK
1556; Kata yang menjelaskan bentuk bagian-bagian dari wajah manusia. ;1370;237;cinta;1;2268;169;cinta;DAILY CHECK
1558; Kata yang menjelaskan bentuk bagian-bagian dari wajah manusia. ;1746;206;isang beke;1;1992;249;dagu belah;DAILY CHECK
1560; Apa saja bagian dari mata dan sekitarnya. ;1632;225;gukhip;1;1982;249;alis;DAILY CHECK
1561; Apa saja bagian dari mata dan sekitarnya. ;1921;209;buk mate;1;2092;249;rambut mata;DAILY CHECK
1562; Apa saja bagian dari mata dan sekitarnya. ;1923;209;bulung mate;1;2137;249;daun mata;DAILY CHECK
1563; Apa saja bagian dari mata dan sekitarnya. ;1999;249;lubang ni bagas ikhis si nilalui bekas cahaye;1;2204;214;lubang di dalam potongan di lewati berkas cahaya;DAILY CHECK
1565; Apa saja bagian dari mata dan sekitarnya. ;2013;249;ikhis selaput bola mate yang letak ni belakang kornea mate;1;2222;214;iris selaput bola mate yang letak di belakang kone mata;DAILY CHECK
1566; Apa saja bagian dari mata dan sekitarnya. ;2000;249;bagien biji mate si mewanekh mentakh ;1;2197;214;bagian biji mata warna putih;DAILY CHECK
1567; Apa saja bagian dari mata dan sekitarnya. ;2002;249;biji mate;1;2147;209;biji mata;DAILY CHECK
1567; Apa saja bagian dari mata dan sekitarnya. ;2002;249;biji mate;1;2188;214;biji mata;DAILY CHECK
1567; Apa saja bagian dari mata dan sekitarnya. ;2002;249;biji mate;1;2267;169;bola mata;DAILY CHECK
1567; Apa saja bagian dari mata dan sekitarnya. ;2026;209;bola mate;1;2108;249;bola mata;DAILY CHECK
1568; Apa saja bagian dari mata dan sekitarnya. ;1829;245;samping mate;1;2115;249;samping mata;DAILY CHECK
1569; Apa saja bagian dari mata dan sekitarnya. ;1830;245;tanggis ;1;2094;249;menangis;DAILY CHECK
1570; Apa saja bagian dari mata dan sekitarnya. ;2015;249;lapisen;1;2225;214;lapisan;DAILY CHECK
1570; Apa saja bagian dari mata dan sekitarnya. ;2015;249;lapisen;1;2383;249;lapisan;DAILY CHECK
1571; Apa saja bagian dari mata dan sekitarnya. ;1845;245;melekuk mate;1;2104;249;melengkung mata;DAILY CHECK
1572; Kata yang menjelaskan bentuk mata seseorang. ;1847;245;mate megakhe;1;2113;249;mata merah;DAILY CHECK
1573; Kata yang menjelaskan bentuk mata seseorang. ;1848;245;mate kabukh ;1;2117;249;mata buram;DAILY CHECK
1575; Kata yang menjelaskan bentuk mata seseorang. ;1856;245;ngukhip tebal;1;2130;249;alis tebal;DAILY CHECK
1576; Kata yang menjelaskan bentuk mata seseorang. ;1841;245;mbuk mate mu meletik;1;2091;249;Rambut matamu melentik;DAILY CHECK
1577; Kata yang menjelaskan bentuk mata seseorang. ;1834;245;mate ijo ;1;2128;249;mata hijau;DAILY CHECK
1578; Kata yang menjelaskan bentuk mata seseorang. ;1831;245;mate kero;1;2123;249;mata melihat;DAILY CHECK
1579; Apa yang dilakukan oleh mata. ;1857;245;ngato;1;2097;249;melihat;DAILY CHECK
1579; Apa yang dilakukan oleh mata. ;2017;249;tekhidah;1;2146;209;terlihat;DAILY CHECK
1580; Apa yang dilakukan oleh mata. ;1835;245;tanggis;1;2134;249;menangis;DAILY CHECK
1581; Apa yang dilakukan oleh mata. ;1837;245;melawe;1;2133;249;ber air;DAILY CHECK
1582; Kata yang digunakan untuk menyebut cara mata bergerak. ;2012;249;julingen;1;2215;214;juling;DAILY CHECK
1583; Kata yang digunakan untuk menyebut cara mata bergerak. ;1843;245;meputokh;1;2103;249;berbutar;DAILY CHECK
1584; Kata yang digunakan untuk menyebut cara mata bergerak. ;2018;249;cekidep;1;2210;214;berkedip;DAILY CHECK
1586; Kata yang digunakan untuk menyebut cara kelopak mata bergerak. ;1846;245;cekidop ;1;2114;249;berkedip;DAILY CHECK
1586; Kata yang digunakan untuk menyebut cara kelopak mata bergerak. ;1846;245;cekidop ;1;2214;214;berkedip;DAILY CHECK
1586; Kata yang digunakan untuk menyebut cara kelopak mata bergerak. ;1846;245;cekidop ;1;2737;202;berkedip;DAILY CHECK
1586; Kata yang digunakan untuk menyebut cara kelopak mata bergerak. ;1846;245;cekidop ;1;3418;171;berkedip;DAILY CHECK
1587; Kata yang digunakan untuk menyebut cara kelopak mata bergerak. ;2020;249;kedip;1;2236;214;berkedip;DAILY CHECK
1587; Kata yang digunakan untuk menyebut cara kelopak mata bergerak. ;2020;249;kedip;1;2425;249;berkedip;DAILY CHECK
1588; Kata yang digunakan untuk menyebut cara kelopak mata bergerak. ;1948;209;tepedem;1;2186;214;tertidur;DAILY CHECK
1588; Kata yang digunakan untuk menyebut cara kelopak mata bergerak. ;1948;209;tepedem;1;2269;169;tertidur;DAILY CHECK
1588; Kata yang digunakan untuk menyebut cara kelopak mata bergerak. ;1948;209;tepedem;1;3442;171;tertidur;DAILY CHECK
1592; Apa yang orang lakukan dengan matanya. ;1851;245;mengusuk;1;2129;249;menggosok;DAILY CHECK
1594; Apa yang dihasilkan oleh mata. ;1853;245;lawe mate;1;2124;249;air mata;DAILY CHECK
1595; Kata yang digunakan untuk menyebut sesuatu yang terkumpul di sudut mata selepas tidur. ;1855;245;icing mate;1;2111;249;tai mata;DAILY CHECK
1596; Kata yang digunakan untuk menyebut sesuatu yang terkumpul di sudut mata selepas tidur. ;2003;249;bukhung mate;1;2145;209;buhung mata;DAILY CHECK
1598; Kata yang menjelaskan sifat sesuatu yang berkaitan dengan mata. ;2005;249;optik;1;2202;214;apotik;DAILY CHECK
1599; Kata yang menjelaskan sifat sesuatu yang berkaitan dengan mata. ;1858;245;ngato;1;2101;249;lihat;DAILY CHECK
1600;Kata yang digunakan untuk menyebut telinga. ;1913;209;cuping;1;2138;249;telingga;DAILY CHECK
1601; Apa saja bagian dari telinga. ;1916;209;telinga, cuping;1;2096;249;telinga,telinga;DAILY CHECK
1604; Apa saja bagian dari telinga. ;1928;209;telinga, cuping;1;2135;249;telinga kuping;DAILY CHECK
1607; Apa saja bagian dari telinga. ;2027;209;salukhen cuping;1;2127;249;saluran telinga;DAILY CHECK
1611; Apa yang dilakukan oleh telinga. ;1906;169;dengkohi;1;2120;249;dengarkan;DAILY CHECK
1611; Apa yang dilakukan oleh telinga. ;1906;169;dengkohi;1;2217;214;dengarkan;DAILY CHECK
1613; Apa yang orang lakukan dengan telinganya. ;1930;209;garuk;1;2099;249;garuk;DAILY CHECK
1613; Apa yang orang lakukan dengan telinganya. ;1930;209;garuk;1;2730;202;garuk;DAILY CHECK
1615; Apa yang orang lakukan dengan telinganya. ;1951;209;bosihken;1;2116;249;bersihkan;DAILY CHECK
1616; Apa yang orang lakukan dengan telinganya. ;2010;249;gampakh ken tanggan ni cuping  telinga untuk nempuhi pemege;1;2231;214;letakan tangan di telinga untuk membantu mendengar;DAILY CHECK
1620; Apa yang orang lakukan dengan telinganya ketika tidak ingin mendengar sesuatu. ;2001;249;meyumbat khut kapas;1;2211;214;menyumbat dengan kapas;DAILY CHECK
1625; Kata yang menjelaskan sifat sesuatu yang berkaitan dengan telinga. ;2142;209;indra pemege;1;2339;214;indra pendengar;DAILY CHECK
1625; Kata yang menjelaskan sifat sesuatu yang berkaitan dengan telinga. ;2142;209;indra pemege;1;2401;249;indra pendengar;DAILY CHECK
1626; Kata yang menjelaskan sifat sesuatu yang berkaitan dengan telinga. ;2143;209;pemege;1;2337;214;mendengar;DAILY CHECK
1627;Kata yang digunakan untuk menyebut hidung. ;2241;209;igung;1;2343;214;hidung;DAILY CHECK
1628; Apa saja bagian dari hidung. ;2168;214;lubang igung;1;2427;249;lubang hidung;DAILY CHECK
1629; Apa saja bagian dari hidung. ;2177;214;batang igung;1;2403;249;batang hidung;DAILY CHECK
1631; Apa saja bagian dari hidung. ;2154;214;ingung;1;2432;249;hidung;DAILY CHECK
1632; Apa saja bagian dari hidung. ;2163;214;selaput becek;1;2384;249;selaput licin;DAILY CHECK
1633; Kata yang menjelaskan bentuk hidung seseorang. ;2239;209;mancung;1;2353;214;mancung;DAILY CHECK
1634; Kata yang menjelaskan bentuk hidung seseorang. ;2172;214;pesek;1;2398;249;pesek;DAILY CHECK
1636; Kata yang menjelaskan bentuk hidung seseorang. ;2160;214;lain khase;1;2423;249;lain rasa;DAILY CHECK
1637; Kata yang menjelaskan bentuk hidung seseorang. ;2158;214;mbelang;1;2381;249;lebar;DAILY CHECK
1638; Kata yang menjelaskan bentuk hidung seseorang. ;2171;214;gedang;1;2392;249;panjang;DAILY CHECK
1639; Kata yang menjelaskan bentuk hidung seseorang. ;2144;209;igung metet;1;2347;214;hidung sumbat;DAILY CHECK
1640; Kata yang menjelaskan bentuk hidung seseorang. ;2164;214;bengkok;1;2430;249;bengkok;DAILY CHECK
1641; Apa yang dilakukan oleh hidung. ;2167;214;mensemoh;1;2418;249;mencium;DAILY CHECK
1642; Apa yang dilakukan oleh hidung. ;2156;214;menapas;1;2399;249;bernapas;DAILY CHECK
1643; Kata yang menjelaskan cara udara bergerak melalui hidung. ;2157;214;bersin;1;2424;249;bersin;DAILY CHECK
1647; Kata yang menjelaskan cara udara bergerak melalui hidung. ;2180;214;hajar;1;2725;202;hajar;DAILY CHECK
1647; Kata yang menjelaskan cara udara bergerak melalui hidung. ;2180;214;hajar;1;2795;209;hajar ;DAILY CHECK
1648; Kata yang digunakan untuk menyebut cara hidung bergerak. ;2165;214;mengembang;1;2415;249;berkembang;DAILY CHECK
1649; Kata yang digunakan untuk menyebut cara hidung bergerak. ;2166;214;mengepis;1;2408;249;menipis;DAILY CHECK
1650; Apa yang orang lakukan dengan hidungnya. ;2253;209;gelem;1;2350;214;memegang;DAILY CHECK
1652; Apa yang orang lakukan dengan hidungnya. ;2176;214;menekan;1;2395;249;menekan;DAILY CHECK
1652; Apa yang orang lakukan dengan hidungnya. ;2176;214;menekan;1;2732;202;ditekan;DAILY CHECK
1652; Apa yang orang lakukan dengan hidungnya. ;2176;214;menekan;1;2798;209;tekanan;DAILY CHECK
1652; Apa yang orang lakukan dengan hidungnya. ;2176;214;menekan;1;2883;206;Tekan;DAILY CHECK
1652; Apa yang orang lakukan dengan hidungnya. ;2176;214;menekan;1;3375;169;tekanen;DAILY CHECK
1653; Kata yang menjelaskan sifat sesuatu yang berkaitan dengan hidung. ;2178;214;nesal;1;2396;249;menyesal;DAILY CHECK
1654; Kata yang menjelaskan sifat sesuatu yang berkaitan dengan hidung. ;2257;209;pengenggoh;1;2341;214;pengkuat;DAILY CHECK
1655;Kata yang digunakan untuk menyebut mulut. ;2179;214;babah;1;2419;249;mulut;DAILY CHECK
1656; Apa saja bagian dari mulut. ;2256;209;bibekh;1;2361;214;bibir;DAILY CHECK
1657; Apa saja bagian dari mulut. ;2161;214;lilah;1;2404;249;lidah;DAILY CHECK
1658; Apa saja bagian dari mulut. ;2174;214;ipen;1;2382;249;gigi;DAILY CHECK
1659; Apa saja bagian dari mulut. ;2175;214;gusi;1;2386;249;gusi;DAILY CHECK
1661; Apa saja bagian dari mulut. ;2258;209;langit babah;1;2351;214;langit mulut;DAILY CHECK
1662; Apa saja bagian dari mulut. ;2261;209;khongge babah;1;2338;214;ronga mulut;DAILY CHECK
1663; Apa saja bagian dari mulut. ;2251;209;bagien langit si moh;1;2358;214;bagian langit yang lembut;DAILY CHECK
1668; Kata yang menjelaskan bentuk mulut seseorang. ;2259;209;bibikh melekuk;1;2360;214;bibir lesung;DAILY CHECK
1669; Apa yang orang lakukan dengan mulutnya. ;2238;209;menapas;1;2355;214;bernaas;DAILY CHECK
1670; Apa yang orang lakukan dengan mulutnya. ;2248;209;mecerok;1;2362;214;berbicara;DAILY CHECK
